Quality	#1 ID	#2 ID	#1 String	#2 String
1	5156	9397	Come on. We want everyone down there.	Nào. Chúng ta muốn mọi quốc gia đều xuống đây.
1	6850	12346	He listed LeapFrog Enterprises' LF.N LeapPad books, Hasbro Inc.'s HAS.N Beyblade starter set, and MGA Entertainment's Bratz doll line as toys that were stealing market share.	Những cuốn sách về LF.N LeapPad của LeapFrog Enterprises, bộ khởi đầu HAS.N Beyblade của Hasbro Inc., và dòng búp bê Bratz của MGA Entertainment đều đánh cắp thị phần, ông nói.
1	16342	13298	So I said, "I'm going to spend a year over here."	Tôi đã nói: "Tôi sẽ ở đây một năm."
1	19011	5166	Minister Saud al-Faisal visit was disclosed Monday by two administration officials who discussed it on condition of not being identified by name.	Chuyến thăm của Bộ trưởng Saud al-Faisal được tiết lộ bởi hai quan chức chính quyền, người nói với điều kiện giấu tên.
0	4001	3864	They are mulling whether they're going to take it further.	Có thể ở trong 1 cái rổ, hoặc 1 cái khay bột bánh nhưng chúng tôi dùng chảo.
0	10346	13149	This went on for years.	Đây là nơi mà câu chuyện về sự phát triển không ngừng đã đưa chúng ta tới, đến cái lỗ đen ngay giữa trung tâm nước tôi -- là vết thương của cả hành tinh như giếng dầu phun của PB, mà chúng ta không thể nhìn lâu được.
1	7089	12359	The catalyst for this change was the major earthquake that struck Haiti on the 12th of January in 2010.	Xúc tác cho sự thay đổi này là trận động đất lớn đã càn quét Haiti vào ngày 12 tháng 1 năm 2010.
0	19259	10954	The victims included seven Lebanese, four Egyptians, one Saudi and one Sudanese, the ministry official said.	Truyền hình nhà nước cho biết người chết bao gồm bảy người Lebanon, bốn người Ai Cập, một người Ả Rập, một người Sudan và bốn người có quốc tịch không được nêu tên.
0	16130	11714	People have a huge amount of fun doing this, reconnecting with other people as they do it.	(Tiếng cười) Vâng, đó là một kết quả tồi tệ.
1	14330	13212	And I don't see this as an alternative to civilization.	Và tôi không xem điều đó như một sự thay thế của nền văn minh.
1	482	6830	Watson was in fact listening to very low-frequency radio emissions caused by nature.	Thực tế là Watson đã nghe thấy bức xạ sóng vô tuyến tần số thấp gây ra bởi tự nhiên.
1	11752	12289	And what I'm trying to do with my work is put faces to this.	Và điều tôi đang cố gắng làm với công việc là đối diện với điều này..
0	11601	16361	It's a really big problem.	Sobule: Tiếp đi, Julia. Sweeny: Ok. Oprah chưa bao giờ là một anh hùng vĩ đại đối với tôi.
0	3077	11332	I get it, knowing that there are so many sexual assaults on college campuses that are so widespread and so under-reported.	Thế là tôi tiếp tục. Tôi đã hết thời rồi, nhưng, đây là Michael Wigler, một nhà toán học rất rất rất thông minh chuyển sang ngành vật lý. Ông ấy đã phát triển một công nghệ về cơ bản cho phép chúng ta quan sát mẫu ADN và cuối cùng là hàng triệu điểm trên đó.
1	4179	3052	It's a place where people have the longest disability-free life expectancy in the world.	Đay cũng là nơi người dân sống không tật nguyền lâu nhất thế giới.
1	2561	9181	Every now and then an electric shock is applied to the floor, which pains the dogs.	Thỉnh thoảng người ta lại cho sốc điện trên sàn, làm đau những con chó.
0	7692	6530	They show films, they give talks, and so on.	Và tất nhiên các bạn đã quá quen với ngôn ngữ máy tính đặt theo tên ông,
0	10773	3127	It's the secret sauce because it's the place where the social interactions and community life begin, and from there, it radiates out through the rest of the community.	Vậy bây giờ chúng tôi đã phát triển những công cụ này và tìm thấy những vật liệu này cho phép chúng ta làm những điều này, chúng tôi bắt đầu nhận ra, một cách cần thiết, rằng bất kì điều gì mà chúng ta có thể làm với giấy, bất kì điều gì chúng ta có thể làm với một mảnh giấy và một cây bút chúng ta có thể làm với các thiết bị điện tử.
0	4976	18202	And look at what the beetle does.	Thế nên, hiện tượng này cũng như đặt mình vào hoàn cảnh người được chạm vào.
1	4407	19769	(Crackling) This is a a highly condensed clump of neutral matter, spinning in the distant universe.	(Lách cách) Đây là một đám rất đậm đặc của vật chất trung hòa quay vòng trong vũ trụ xa xôi.
1	6048	8439	So whatever is responsible for this cancellation is extremely tightly coupled with tempo causality.	Vì vậy cho dù là cái gì đi nữa chịu trách nhiệm cho sự triệt tiêu này thì cũng kết hợp cực kỳ chặt chẽ với phương pháp nhân quả có nhịp độ.
